station,arrondissement,mm,dd,wday,dur
27e avenue / Rosemont,Rosemont - La Petite-Patrie,7,28,Friday,16.28682387
Molson / Beaubien,Rosemont - La Petite-Patrie,9,27,Wednesday,16.0155179
Bourget / St-Jacques,Le Sud-Ouest,5,18,Thursday,14.05627095
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,7,24,Monday,16.1855047
8e avenue / Dandurand,Rosemont - La Petite-Patrie,6,15,Thursday,17.92499673
Guy / Sainte-Catherine,Ville-Marie,6,3,Saturday,16.82713534
Richardson / Montmorency,Le Sud-Ouest,9,25,Monday,13.29660679
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,8,29,Tuesday,14.72528458
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,8,18,Friday,14.20076629
Hutchison / Van Horne,Le Plateau-Mont-Royal,5,27,Saturday,14.79134236
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,6,30,Friday,13.25930208
Pontiac / Gilford,Le Plateau-Mont-Royal,5,8,Monday,10.19518463
Milton / du Parc,Le Plateau-Mont-Royal,5,8,Monday,11.59109367
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,5,12,Friday,9.655590196
Lajeunesse / de Liège,Villeray - Saint-Michel - Parc-Extension,6,11,Sunday,16.38044183
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,6,28,Wednesday,12.91134495
de la Roche / Bélanger,Rosemont - La Petite-Patrie,8,7,Monday,13.7779337
de la Côte St-Antoine / Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,5,3,Wednesday,12.16875873
Gauthier / Papineau,Le Plateau-Mont-Royal,7,21,Friday,13.69622685
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,9,2,Saturday,19.59495513
27e avenue / Rosemont,Rosemont - La Petite-Patrie,5,28,Sunday,20.07317937
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,6,18,Sunday,13.3357925
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,9,7,Thursday,12.04451942
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,9,22,Friday,11.94828824
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,9,13,Wednesday,11.05462009
Metcalfe / de Maisonneuve,Ville-Marie,5,25,Thursday,14.43208075
Plessis / Ontario,Ville-Marie,9,27,Wednesday,12.79970909
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,9,12,Tuesday,14.87068733
Bercy / Rachel,Le Plateau-Mont-Royal,5,3,Wednesday,11.85077083
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,7,15,Saturday,14.843971
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,7,2,Sunday,11.18427374
Bourget / St-Jacques,Le Sud-Ouest,9,19,Tuesday,9.029892754
Wilderton  / Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,5,14,Sunday,15.93916011
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,6,7,Wednesday,13.79597862
5e avenue / Rosemont,Rosemont - La Petite-Patrie,9,30,Saturday,18.5446125
Milton / du Parc,Le Plateau-Mont-Royal,5,28,Sunday,14.56411803
Grand Boulevard / de Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,5,12,Friday,19.06449659
Larivière / de Lorimier,Ville-Marie,8,11,Friday,14.26600333
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,7,1,Saturday,14.65964231
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,5,26,Friday,13.57546062
Union / René-Lévesque,Ville-Marie,8,3,Thursday,12.06880072
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,7,22,Saturday,13.31079778
d'Orléans / Masson,Rosemont - La Petite-Patrie,10,27,Friday,15.79655216
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,10,18,Wednesday,11.09118415
Maguire / Henri-Julien,Le Plateau-Mont-Royal,6,25,Sunday,12.03174194
Maguire / Henri-Julien,Le Plateau-Mont-Royal,6,5,Monday,11.65812676
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,8,8,Tuesday,16.95868158
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,9,13,Wednesday,11.0164196
Plessis / Ontario,Ville-Marie,9,15,Friday,11.28931856
Ann / Wellington,Le Sud-Ouest,9,14,Thursday,14.45127468
Lajeunesse / de Liège,Villeray - Saint-Michel - Parc-Extension,10,5,Thursday,16.14642054
Quai de la navette fluviale,Ville-Marie,10,24,Tuesday,46.52459722
Duluth  / St-Denis,Le Plateau-Mont-Royal,9,3,Sunday,14.02987756
Drolet / Marie-Anne,Le Plateau-Mont-Royal,8,20,Sunday,15.34997881
8e avenue / Everett,Villeray - Saint-Michel - Parc-Extension,8,23,Wednesday,22.74869773
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,9,20,Wednesday,10.22407402
de la Roche / Bélanger,Rosemont - La Petite-Patrie,5,22,Monday,18.26400457
Egan / Laurendeau,Le Sud-Ouest,7,30,Sunday,22.24861782
Plessis / Ontario,Ville-Marie,9,4,Monday,16.6111848
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,8,16,Wednesday,16.80467073
Wilderton  / Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,9,6,Wednesday,13.11807345
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,7,8,Saturday,12.54677508
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,9,5,Tuesday,13.15718171
Parc Plage,Ville-Marie,9,13,Wednesday,23.07543083
Labadie / du Parc,Le Plateau-Mont-Royal,5,30,Tuesday,16.0974586
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,7,2,Sunday,13.79138185
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,10,3,Tuesday,13.14533257
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,7,19,Wednesday,12.81453924
Parc Plage,Ville-Marie,9,11,Monday,30.3673825
Larivière / de Lorimier,Ville-Marie,8,5,Saturday,14.74794261
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,7,20,Thursday,12.833
Wolfe / Robin,Ville-Marie,8,12,Saturday,15.03246122
Richardson / Montmorency,Le Sud-Ouest,10,4,Wednesday,17.15668907
Boyer / St-Zotique,Rosemont - La Petite-Patrie,6,2,Friday,13.72143095
St-André / Rachel,Le Plateau-Mont-Royal,5,15,Monday,12.27277329
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,9,24,Sunday,11.813475
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,10,1,Sunday,31.77156889
Grand Boulevard / de Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,8,21,Monday,20.88353161
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,7,9,Sunday,14.9647067
de Bordeaux / Masson,Le Plateau-Mont-Royal,8,10,Thursday,15.23072837
de Kent / de la Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,7,27,Thursday,16.40752167
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,5,21,Sunday,17.13799792
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,7,10,Monday,13.16672269
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,9,6,Wednesday,11.12368815
Wilderton  / Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,5,28,Sunday,15.1483749
Guy / Sainte-Catherine,Ville-Marie,7,22,Saturday,15.04698565
de la Montagne / Sherbrooke,Ville-Marie,5,16,Tuesday,10.1287375
St-André / Rachel,Le Plateau-Mont-Royal,7,8,Saturday,13.47774923
Wilderton  / Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,6,25,Sunday,16.28037465
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,9,27,Wednesday,12.61079966
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,7,26,Wednesday,11.42402788
Vallières / St-Laurent,Le Plateau-Mont-Royal,5,25,Thursday,12.27741411
St-Urbain / de la Gauchetière,Ville-Marie,8,30,Wednesday,15.15822829
Wilderton  / Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,5,25,Thursday,13.14165158
Bercy / Rachel,Le Plateau-Mont-Royal,7,1,Saturday,13.7488695
Dorion / Rachel,Le Plateau-Mont-Royal,7,4,Tuesday,13.55590047
Grey / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,7,13,Thursday,15.61959815
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,8,23,Wednesday,13.50817863
Wilderton  / Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,9,24,Sunday,14.41031733
Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,8,21,Monday,11.01905309
8e avenue / Everett,Villeray - Saint-Michel - Parc-Extension,5,22,Monday,23.04436667
de Rouen / Lespérance,Ville-Marie,6,25,Sunday,17.94618043
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,9,30,Saturday,12.16606479
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,9,18,Monday,11.09227633
8e avenue / Dandurand,Rosemont - La Petite-Patrie,6,8,Thursday,14.75777159
d'Orléans / Masson,Rosemont - La Petite-Patrie,8,16,Wednesday,13.76598474
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,6,9,Friday,14.48737344
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,6,19,Monday,10.87399646
Parc Plage,Ville-Marie,7,12,Wednesday,29.22617486
Pontiac / Gilford,Le Plateau-Mont-Royal,8,25,Friday,10.33833601
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,5,18,Thursday,12.36378021
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,10,24,Tuesday,7.605977778
Vallières / St-Laurent,Le Plateau-Mont-Royal,9,30,Saturday,12.93517598
Plessis / Ontario,Ville-Marie,7,19,Wednesday,12.19282952
Egan / Laurendeau,Le Sud-Ouest,8,6,Sunday,21.86541263
Métro Jarry (Lajeunesse / Jarry),Villeray - Saint-Michel - Parc-Extension,5,3,Wednesday,7.912288141
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,6,6,Tuesday,11.90984207
Richardson / Montmorency,Le Sud-Ouest,8,1,Tuesday,15.05480767
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,7,3,Monday,11.53689851
Métro Jarry (Lajeunesse / Jarry),Villeray - Saint-Michel - Parc-Extension,5,31,Wednesday,14.14895329
Fortune / Wellington,Le Sud-Ouest,6,19,Monday,15.2001836
Vallières / St-Laurent,Le Plateau-Mont-Royal,6,29,Thursday,12.11842412
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,6,10,Saturday,11.11235961
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,7,11,Tuesday,14.14901021
du Havre / de Rouen,Ville-Marie,7,7,Friday,17.18264303
Grey / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,10,4,Wednesday,15.85761875
Vallières / St-Laurent,Le Plateau-Mont-Royal,7,7,Friday,10.79301978
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,7,24,Monday,12.39067956
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,10,14,Saturday,14.38165164
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,7,1,Saturday,25.67534111
de Bordeaux / Masson,Le Plateau-Mont-Royal,10,30,Monday,10.80427068
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,5,30,Tuesday,19.82839506
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,9,15,Friday,11.06500097
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,6,20,Tuesday,14.73568864
de Bullion / St-Joseph,Le Plateau-Mont-Royal,9,18,Monday,9.846915079
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,7,11,Tuesday,13.03777464
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,6,20,Tuesday,15.2019549
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,10,4,Wednesday,12.72732988
de la Montagne / Sherbrooke,Ville-Marie,5,5,Friday,13.04255728
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,7,4,Tuesday,11.01531145
Maguire / Henri-Julien,Le Plateau-Mont-Royal,5,21,Sunday,17.05729524
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,8,10,Thursday,10.31603107
Rosemont / Viau,Rosemont - La Petite-Patrie,8,12,Saturday,19.50703687
St-André / Rachel,Le Plateau-Mont-Royal,7,28,Friday,13.98426957
5e avenue / Rosemont,Rosemont - La Petite-Patrie,10,9,Monday,10.82928467
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,5,26,Friday,18.08301319
Parthenais / du Mont-Royal,Le Plateau-Mont-Royal,10,12,Thursday,10.86311321
Milton / Durocher,Le Plateau-Mont-Royal,10,25,Wednesday,9.827882595
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,5,25,Thursday,11.82116523
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,10,1,Sunday,20.90650976
Lajeunesse / de Liège,Villeray - Saint-Michel - Parc-Extension,9,28,Thursday,16.70264026
Guizot / St-Denis,Villeray - Saint-Michel - Parc-Extension,5,1,Monday,15.54834545
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,7,7,Friday,14.10619792
Berri / Cherrier,Le Plateau-Mont-Royal,9,16,Saturday,11.10379983
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,5,19,Friday,13.67448953
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,9,11,Monday,9.288198148
Metcalfe / de Maisonneuve,Ville-Marie,5,28,Sunday,16.56403821
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,10,8,Sunday,10.47490893
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,8,16,Wednesday,12.83567857
Metcalfe / de Maisonneuve,Ville-Marie,8,9,Wednesday,13.52747177
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,10,13,Friday,17.77818036
Rosemont / Viau,Rosemont - La Petite-Patrie,9,9,Saturday,20.68494903
Rose-de-Lima / Workman,Le Sud-Ouest,10,19,Thursday,10.97945135
Duluth  / St-Denis,Le Plateau-Mont-Royal,9,21,Thursday,12.59764276
Plessis / Ontario,Ville-Marie,5,23,Tuesday,11.0338859
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,6,1,Thursday,15.62503256
Parc Plage,Ville-Marie,5,25,Thursday,23.5958871
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,5,11,Thursday,13.5937939
Berri / Cherrier,Le Plateau-Mont-Royal,10,1,Sunday,10.12006193
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,5,25,Thursday,11.17499435
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,10,22,Sunday,10.98347105
de Bullion / St-Joseph,Le Plateau-Mont-Royal,8,10,Thursday,9.935191315
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,10,8,Sunday,9.314492248
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,7,9,Sunday,14.33791806
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,7,3,Monday,15.56608743
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,5,2,Tuesday,10.52837533
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,7,19,Wednesday,16.52765503
Milton / du Parc,Le Plateau-Mont-Royal,9,5,Tuesday,11.948425
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,7,25,Tuesday,22.60863615
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,5,7,Sunday,14.1925906
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,8,25,Friday,16.24946594
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,10,16,Monday,11.3172817
Bourget / St-Jacques,Le Sud-Ouest,8,25,Friday,12.96759638
Larivière / de Lorimier,Ville-Marie,10,5,Thursday,11.17888146
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,9,8,Friday,14.23547872
5e avenue / Rosemont,Rosemont - La Petite-Patrie,8,27,Sunday,12.03980196
Métro Bonaventure (de la Gauchetière / de la Cathédrale),Ville-Marie,7,10,Monday,9.425244715
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,5,31,Wednesday,20.18799228
Drolet / Marie-Anne,Le Plateau-Mont-Royal,9,2,Saturday,13.33159148
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,7,23,Sunday,14.65945512
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,8,5,Saturday,15.60285794
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,10,4,Wednesday,13.55077556
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,6,7,Wednesday,12.98794818
Grand Boulevard / de Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,6,27,Tuesday,19.87795571
Parthenais / du Mont-Royal,Le Plateau-Mont-Royal,8,1,Tuesday,11.94584831
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,7,8,Saturday,14.41008899
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,10,21,Saturday,12.59007847
Grey / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,10,10,Tuesday,12.41520449
Drolet / Marie-Anne,Le Plateau-Mont-Royal,6,19,Monday,12.86695922
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,10,28,Saturday,17.74058636
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,7,8,Saturday,11.5794615
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,7,24,Monday,10.38311947
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,6,19,Monday,12.66318531
Berri / Cherrier,Le Plateau-Mont-Royal,7,17,Monday,11.0050133
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,10,9,Monday,11.04104715
8e avenue / Dandurand,Rosemont - La Petite-Patrie,10,24,Tuesday,12.4317313
de la Roche / Bélanger,Rosemont - La Petite-Patrie,8,2,Wednesday,15.55399249
Henri-Julien / Laurier,Le Plateau-Mont-Royal,9,25,Monday,11.65851865
Rose-de-Lima / Workman,Le Sud-Ouest,6,16,Friday,12.30515952
Metcalfe / de Maisonneuve,Ville-Marie,5,12,Friday,13.20627319
de Kent / de la Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,10,10,Tuesday,12.53558082
Quai de la navette fluviale,Ville-Marie,5,12,Friday,39.30768095
de Rouen / Hogan,Ville-Marie,8,19,Saturday,18.71366741
Larivière / de Lorimier,Ville-Marie,8,14,Monday,12.646996
Pontiac / Gilford,Le Plateau-Mont-Royal,10,20,Friday,8.98477972
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,6,16,Friday,12.6793901
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,5,27,Saturday,13.38296307
Quai de la navette fluviale,Ville-Marie,5,30,Tuesday,38.29594583
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,5,17,Wednesday,14.97810741
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,7,19,Wednesday,11.28978344
Milton / du Parc,Le Plateau-Mont-Royal,6,3,Saturday,12.35507029
Métro Jarry (Lajeunesse / Jarry),Villeray - Saint-Michel - Parc-Extension,6,2,Friday,12.37047405
du Havre / de Rouen,Ville-Marie,8,20,Sunday,12.87552884
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,6,12,Monday,11.06207477
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,5,20,Saturday,15.00885744
Egan / Laurendeau,Le Sud-Ouest,7,12,Wednesday,17.34583636
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,9,18,Monday,11.88790861
Richardson / Montmorency,Le Sud-Ouest,8,3,Thursday,14.17385561
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,8,12,Saturday,14.72827952
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,5,6,Saturday,14.48142867
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,7,31,Monday,13.94837388
27e avenue / Rosemont,Rosemont - La Petite-Patrie,6,18,Sunday,17.46970407
Dorion / Rachel,Le Plateau-Mont-Royal,5,22,Monday,12.59301908
Larivière / de Lorimier,Ville-Marie,9,10,Sunday,14.01188976
Guy / Sainte-Catherine,Ville-Marie,6,6,Tuesday,14.60533915
Plessis / Ontario,Ville-Marie,7,2,Sunday,10.89649242
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,5,15,Monday,11.60920112
de Kent / de la Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,9,27,Wednesday,14.26967772
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,7,28,Friday,15.32485317
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,6,5,Monday,11.53212697
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,7,17,Monday,15.10378861
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,6,2,Friday,29.44442955
Duluth  / St-Denis,Le Plateau-Mont-Royal,10,15,Sunday,11.53487941
d'Orléans / Masson,Rosemont - La Petite-Patrie,9,29,Friday,14.17191842
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,9,11,Monday,13.3611119
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,8,13,Sunday,12.35790556
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,9,8,Friday,10.88609141
Rose-de-Lima / Workman,Le Sud-Ouest,10,17,Tuesday,11.67666975
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,10,4,Wednesday,11.50071716
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,6,29,Thursday,12.50450724
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,8,2,Wednesday,11.41141988
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,10,30,Monday,10.6075543
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,5,12,Friday,11.02412665
Molson / Beaubien,Rosemont - La Petite-Patrie,5,7,Sunday,16.10645222
27e avenue / Rosemont,Rosemont - La Petite-Patrie,6,28,Wednesday,15.12984528
Grand Boulevard / de Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,7,22,Saturday,21.63459402
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,6,13,Tuesday,10.28298571
Vallières / St-Laurent,Le Plateau-Mont-Royal,6,21,Wednesday,11.97671011
Lacombe / Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,9,23,Saturday,18.60542361
Gauthier / Papineau,Le Plateau-Mont-Royal,10,2,Monday,10.72183276
5e avenue / Rosemont,Rosemont - La Petite-Patrie,6,29,Thursday,15.37136036
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,5,13,Saturday,11.91286061
de Bullion / St-Joseph,Le Plateau-Mont-Royal,9,1,Friday,12.19878191
de la Côte St-Antoine / Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,9,29,Friday,16.32124354
Hutchison / Van Horne,Le Plateau-Mont-Royal,6,29,Thursday,14.42651311
Grey / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,8,15,Tuesday,15.13874922
St-André / Rachel,Le Plateau-Mont-Royal,5,2,Tuesday,8.77899625
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,7,24,Monday,10.79891778
Berri / Cherrier,Le Plateau-Mont-Royal,6,11,Sunday,12.09248748
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,6,16,Friday,14.66989524
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,9,5,Tuesday,13.22966484
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,7,24,Monday,15.00951775
Pontiac / Gilford,Le Plateau-Mont-Royal,8,27,Sunday,13.61096884
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,10,1,Sunday,13.23170275
Grand Boulevard / de Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,7,30,Sunday,16.90015095
de la Côte St-Antoine / Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,8,4,Friday,14.3758322
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,10,13,Friday,12.52499056
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,8,10,Thursday,20.73870751
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,10,29,Sunday,14.86596786
Maguire / Henri-Julien,Le Plateau-Mont-Royal,5,24,Wednesday,12.08124667
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,10,10,Tuesday,13.47305871
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,10,27,Friday,9.882801815
St-André / Rachel,Le Plateau-Mont-Royal,7,11,Tuesday,11.62700267
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,8,24,Thursday,13.20119697
du President-Kennedy / Union,Ville-Marie,10,2,Monday,11.8388348
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,5,10,Wednesday,7.506601852
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,7,9,Sunday,13.74280805
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,8,26,Saturday,13.03676189
Marquette / Rachel,Le Plateau-Mont-Royal,6,14,Wednesday,11.85821086
Boyer / St-Zotique,Rosemont - La Petite-Patrie,6,30,Friday,14.03104953
Boyer / St-Zotique,Rosemont - La Petite-Patrie,9,21,Thursday,12.99526932
Molson / Beaubien,Rosemont - La Petite-Patrie,8,30,Wednesday,13.40918547
Henri-Julien / Laurier,Le Plateau-Mont-Royal,9,20,Wednesday,9.892904924
27e avenue / Rosemont,Rosemont - La Petite-Patrie,8,28,Monday,17.90547308
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,8,24,Thursday,19.43524581
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,6,13,Tuesday,11.34724
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,5,5,Friday,12.32293725
5e avenue / Rosemont,Rosemont - La Petite-Patrie,5,30,Tuesday,14.64511667
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,5,26,Friday,17.6779087
Lajeunesse / de Liège,Villeray - Saint-Michel - Parc-Extension,7,18,Tuesday,17.70133469
de Bullion / St-Joseph,Le Plateau-Mont-Royal,5,9,Tuesday,12.69292886
Dorion / Rachel,Le Plateau-Mont-Royal,7,13,Thursday,15.53787891
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,5,25,Thursday,17.28155547
St-Urbain / de la Gauchetière,Ville-Marie,7,26,Wednesday,17.40225894
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,6,19,Monday,22.02054628
de la Roche / Bélanger,Rosemont - La Petite-Patrie,7,29,Saturday,14.3978371
