station,arrondissement,mm,dd,wday,dur
Parthenais / du Mont-Royal,Le Plateau-Mont-Royal,8,3,Thursday,11.30301926
du President-Kennedy / Union,Ville-Marie,8,10,Thursday,11.37404329
Parc Plage,Ville-Marie,5,21,Sunday,39.73766217
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,5,16,Tuesday,16.24855625
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,10,10,Tuesday,9.039943056
Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,5,13,Saturday,19.88043333
de Bullion / St-Joseph,Le Plateau-Mont-Royal,5,21,Sunday,13.99855106
Wolfe / Robin,Ville-Marie,8,23,Wednesday,13.96424551
de Rouen / Hogan,Ville-Marie,9,29,Friday,12.57951774
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,9,22,Friday,15.43471916
Marquette / Rachel,Le Plateau-Mont-Royal,8,9,Wednesday,12.51246473
St-André / Rachel,Le Plateau-Mont-Royal,6,11,Sunday,13.90372483
Boyer / St-Zotique,Rosemont - La Petite-Patrie,10,21,Saturday,9.977451667
Egan / Laurendeau,Le Sud-Ouest,5,26,Friday,16.702245
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,5,22,Monday,14.95387616
de la Roche / Bélanger,Rosemont - La Petite-Patrie,10,10,Tuesday,12.81355686
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,6,13,Tuesday,10.16151618
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,9,25,Monday,11.0666771
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,6,11,Sunday,23.97796656
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,9,4,Monday,17.30660079
du Havre / de Rouen,Ville-Marie,5,23,Tuesday,12.34507233
Henri-Julien / Laurier,Le Plateau-Mont-Royal,9,18,Monday,11.66658363
de Kent / de la Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,7,18,Tuesday,15.49319278
Métro Bonaventure (de la Gauchetière / de la Cathédrale),Ville-Marie,9,26,Tuesday,10.3732986
Labadie / du Parc,Le Plateau-Mont-Royal,6,1,Thursday,13.82226235
Parc Plage,Ville-Marie,7,11,Tuesday,26.43225
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,9,11,Monday,16.0740478
Grand Boulevard / de Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,6,28,Wednesday,14.66941207
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,8,30,Wednesday,9.917562524
Vallières / St-Laurent,Le Plateau-Mont-Royal,7,25,Tuesday,13.51262695
